Id,Label,timeset,latitude,longitude,indegree,outdegree,Degree,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
CPH,CPH,,55.617901,12.656,119,120,239,0.293664,2132,7,0.369007,0.409896,76255.724022,2,0.00202
EBJ,EBJ,,55.525902,8.5534,2,2,4,0,0,9,0.240968,0.25376,0.291764,2,0.000077
KRP,KRP,,56.297501,9.12463,1,1,2,0,0,8,0.269567,0.283819,0,2,0.000061
RNN,RNN,,55.063301,14.7596,1,1,2,0,0,8,0.269567,0.283819,0,2,0.000061
SGD,SGD,,54.964401,9.79173,1,1,2,0,0,8,0.269567,0.283819,0,2,0.000061
FAE,FAE,,62.063599,-7.27722,4,4,8,1,6,8,0.270656,0.286064,0,2,0.000105
AAL,AAL,,57.092759,9.849243,13,13,26,0.807692,63,8,0.30392,0.328805,60.893794,2,0.000237
LUX,LUX,,49.623333,6.204444,53,54,107,0.388552,577,8,0.318366,0.349975,1772.80247,2,0.000811
AES,AES,,62.5625,6.1197,10,10,20,0.8,36,8,0.295726,0.3168,1.778534,2,0.00019
ANX,ANX,,69.292503,16.144199,4,3,7,0.833333,5,9,0.217298,0.228088,0.333333,12,0.000173
ALF,ALF,,69.976097,23.3717,6,7,13,0.464286,13,9,0.255002,0.270898,5954.035097,12,0.000329
BNN,BNN,,65.461098,12.2175,5,5,10,0.733333,11,9,0.254919,0.270554,96.54716,12,0.000193
BOO,BOO,,67.269203,14.3653,14,15,29,0.257143,27,9,0.255292,0.272381,13618.286321,12,0.000578
BGO,BGO,,60.2934,5.21814,48,48,96,0.342199,386,8,0.315716,0.346358,12359.516358,2,0.000871
BJF,BJF,,70.600502,29.691401,3,5,8,0.7,7,10,0.1786,0.185174,2.416667,12,0.000258
KRS,KRS,,58.204201,8.08537,8,8,16,0.964286,27,8,0.293438,0.313454,0.045287,2,0.000166
BDU,BDU,,69.055801,18.5404,1,1,2,0,0,9,0.254528,0.269019,0,2,0.000063
EVE,EVE,,68.491302,16.678101,7,7,14,0.714286,15,9,0.258033,0.276092,535.468908,2,0.000206
VDB,VDB,,61.015598,9.28806,1,1,2,0,0,9,0.254528,0.269019,0,2,0.000063
FRO,FRO,,61.583599,5.02472,4,4,8,0.8,8,9,0.254713,0.269919,0.689922,2,0.000143
OSL,OSL,,60.193901,11.1004,102,102,204,0.256615,1348,8,0.341395,0.380975,75406.262233,2,0.001946
HAU,HAU,,59.345299,5.20836,10,10,20,0.555556,25,8,0.276918,0.297216,11.923615,2,0.000181
HAA,HAA,,70.486702,22.1397,2,2,4,1,1,9,0.217208,0.227558,0,12,0.000114
KSU,KSU,,63.111801,7.82452,7,6,13,0.666667,14,9,0.255478,0.271666,8.928655,2,0.000174
KKN,KKN,,69.7258,29.8913,5,6,11,0.533333,8,9,0.25494,0.270528,4155.052225,12,0.000252
MOL,MOL,,62.744701,7.2625,6,6,12,0.6,9,8,0.273288,0.290548,44.196453,2,0.000156
MJF,MJF,,65.783997,13.2149,4,5,9,0.6,6,9,0.231148,0.24265,4.166667,12,0.000201
LKL,LKL,,70.068802,24.973499,3,1,4,1,3,9,0.217193,0.227611,0,12,0.000145
OLA,OLA,,63.698898,9.604,1,1,2,0,0,9,0.254528,0.269019,0,2,0.000063
RRS,RRS,,62.5784,11.3423,1,1,2,0,0,9,0.254528,0.269019,0,2,0.000063
RYG,RYG,,59.378817,10.785439,35,35,70,0.396639,236,8,0.292864,0.318797,152.302958,2,0.000503
LYR,LYR,,78.246101,15.4656,2,2,4,1,1,9,0.254775,0.26968,0,2,0.00009
SKE,SKE,,59.185001,9.56694,1,1,2,0,0,9,0.239976,0.252203,0,2,0.000063
SRP,SRP,,59.791901,5.34085,3,3,6,0.666667,2,9,0.254651,0.269548,0.166667,2,0.0001
SSJ,SSJ,,65.956802,12.4689,5,4,9,0.8,8,9,0.254837,0.270236,80.704543,12,0.000176
TOS,TOS,,69.683296,18.9189,20,20,40,0.242105,46,8,0.277332,0.300219,26860.943587,12,0.000638
TRF,TRF,,59.186699,10.2586,29,29,58,0.438424,178,8,0.301475,0.32804,178.03131,2,0.000443
TRD,TRD,,63.457802,10.924,30,31,61,0.341935,159,8,0.300324,0.326044,14325.251322,2,0.000656
SVG,SVG,,58.876701,5.63778,35,37,72,0.414414,276,8,0.312364,0.33963,3725.986985,2,0.000638
GDN,GDN,,54.377602,18.4662,46,46,92,0.335266,347,8,0.309173,0.338313,1793.771101,2,0.000695
KRK,KRK,,50.077702,19.7848,52,52,104,0.411011,545,8,0.315874,0.347286,878.338506,2,0.000742
KTW,KTW,,50.4743,19.08,27,27,54,0.336182,118,8,0.301533,0.326549,411.856901,2,0.000416
POZ,POZ,,52.421001,16.8263,19,19,38,0.438596,75,8,0.301129,0.324656,143.932996,2,0.000293
RZE,RZE,,50.110001,22.018999,11,11,22,0.436364,24,8,0.298842,0.320334,15.932986,2,0.000188
SZZ,SZZ,,53.584702,14.9022,7,7,14,0.571429,12,8,0.26989,0.290255,5.987803,2,0.000142
WAW,WAW,,52.165699,20.9671,77,77,154,0.388243,1136,7,0.350479,0.38613,10252.866841,2,0.001149
WRO,WRO,,51.102699,16.885799,31,31,62,0.460215,214,8,0.306823,0.332573,341.542938,2,0.000447
RNB,RNB,,56.266701,15.265,2,2,4,0,0,9,0.264649,0.279765,6.255301,2,0.000093
GOT,GOT,,57.6628,12.2798,32,32,64,0.590726,293,8,0.31635,0.345221,4594.175318,2,0.000568
JKG,JKG,,57.757599,14.0687,2,2,4,1,1,9,0.264605,0.279659,0,2,0.000099
GSE,GSE,,57.7747,11.8704,19,19,38,0.391813,67,8,0.270633,0.294195,116.048962,2,0.000304
THN,THN,,58.3181,12.345,1,1,2,0,0,9,0.216328,0.224834,0,2,0.000075
MXX,MXX,,60.957901,14.5114,2,2,4,1,1,9,0.26456,0.279579,0,2,0.000113
NYO,NYO,,58.788601,16.912201,31,31,62,0.333333,155,8,0.278633,0.303058,115.931684,2,0.000449
KID,KID,,55.9217,14.0855,1,1,2,0,0,9,0.264538,0.279421,0,2,0.000065
KLR,KLR,,56.685501,16.2876,2,2,4,0,0,9,0.264649,0.279765,6.255301,2,0.000093
MMX,MMX,,55.536305,13.376198,12,12,24,0.272727,18,8,0.272838,0.294227,3079.999318,2,0.00027
HAD,HAD,,56.691101,12.8202,3,4,7,0.5,3,9,0.264694,0.280082,8.898158,2,0.000159
VXO,VXO,,56.9291,14.728,6,5,11,0.533333,8,8,0.293821,0.314008,172.334091,2,0.00017
EVG,EVG,,62.047798,14.4229,2,2,4,1,1,9,0.26456,0.279579,0,2,0.000113
GEV,GEV,,67.132401,20.8146,4,4,8,0.5,3,9,0.264627,0.27995,2.166667,2,0.000189
KRF,KRF,,63.048599,17.7689,2,2,4,1,1,9,0.26456,0.279579,0,2,0.000105
LYC,LYC,,64.548302,18.7162,2,2,4,0,0,9,0.264582,0.279632,3147,2,0.000164
SDL,SDL,,62.528099,17.443899,4,4,8,0.5,3,9,0.264783,0.280268,9.299745,2,0.000142
OER,OER,,63.408298,18.99,1,1,2,0,0,9,0.264538,0.279421,0,2,0.000065
KRN,KRN,,67.821999,20.3368,2,2,4,1,1,9,0.26456,0.279579,0,2,0.000105
SFT,SFT,,64.624802,21.0769,3,3,6,0.333333,1,9,0.268189,0.287415,5.857907,2,0.00009
UME,UME,,63.791801,20.282801,6,6,12,0.4,6,9,0.270052,0.288712,45.668514,2,0.000187
VHM,VHM,,64.579102,16.833599,2,2,4,0,0,9,0.264582,0.279632,3147,2,0.000164
AJR,AJR,,65.590302,19.2819,1,1,2,0,0,10,0.209239,0.216485,0,2,0.000117
ORB,ORB,,59.223701,15.038,2,2,4,0,0,9,0.214412,0.224244,2.654769,2,0.000113
VST,VST,,59.589401,16.6336,3,3,6,0.666667,2,9,0.252021,0.271791,0.012987,2,0.000086
LLA,LLA,,65.5438,22.122,5,5,10,0.3,3,9,0.264694,0.280188,97.233527,2,0.000204
ARN,ARN,,59.651901,17.9186,122,122,244,0.218713,1641,8,0.359648,0.401825,101492.097057,2,0.002556
BMA,BMA,,59.354401,17.9417,15,15,30,0.07619,8,8,0.276019,0.294981,3524.021414,2,0.000489
BLE,BLE,,60.422001,15.5152,2,2,4,0,0,9,0.240397,0.252362,155.186475,2,0.000111
LPI,LPI,,58.4062,15.6805,2,2,4,1,1,8,0.289951,0.307694,0,2,0.000076
NRK,NRK,,58.5863,16.250601,1,1,2,0,0,9,0.260553,0.274779,0,2,0.000066
VBY,VBY,,57.6628,18.346201,4,4,8,0.333333,2,9,0.265251,0.281062,12.661524,2,0.000125
RLG,RLG,,53.918201,12.2783,5,5,10,0.8,8,8,0.284424,0.303604,0.208666,2,0.000111
BFN,BFN,,-29.092699,26.302401,3,3,6,1,3,9,0.26218,0.276306,0,4,0.000135
CPT,CPT,,-33.964802,18.6017,21,21,42,0.2,42,8,0.309599,0.33162,6608.430611,4,0.000737
DUR,DUR,,-29.614444,31.119722,13,13,26,0.307692,24,8,0.290943,0.309241,1263.984562,4,0.000465
ELS,ELS,,-33.035599,27.825899,4,4,8,1,6,9,0.262202,0.276465,0,4,0.000171
GRJ,GRJ,,-34.0056,22.378901,3,3,6,1,3,9,0.26218,0.276306,0,4,0.000135
HDS,HDS,,-24.368601,31.0487,2,2,4,1,1,9,0.262159,0.276147,0,4,0.000104
JNB,JNB,,-26.1392,28.246,80,79,159,0.124684,394,8,0.355184,0.392647,116987.773268,4,0.002572
KIM,KIM,,-28.802799,24.7652,2,2,4,1,1,9,0.262159,0.276147,0,4,0.000104
HLA,HLA,,-25.938499,27.9261,2,2,4,1,1,9,0.236549,0.246002,0,4,0.000107
MGH,MGH,,-30.857401,30.343,1,1,2,0,0,9,0.262115,0.275936,0,4,0.000075
PLZ,PLZ,,-33.984901,25.6173,4,4,8,1,6,9,0.262202,0.276465,0,4,0.000171
PHW,PHW,,-23.937201,31.155399,1,1,2,0,0,9,0.262115,0.275936,0,4,0.000075
PZB,PZB,,-29.649,30.398701,1,1,2,0,0,9,0.262115,0.275936,0,4,0.000075
PTG,PTG,,-23.845269,29.458615,1,1,2,0,0,9,0.262115,0.275936,0,4,0.000075
RCB,RCB,,-28.740999,32.092098,1,1,2,0,0,9,0.262115,0.275936,0,4,0.000075
UTN,UTN,,-28.399099,21.2602,2,2,4,1,1,9,0.262159,0.276147,0,4,0.000104
UTT,UTT,,-31.546363,28.673355,1,1,2,0,0,9,0.262115,0.275936,0,4,0.000075
FRW,FRW,,-21.159599,27.474501,2,2,4,1,1,9,0.262137,0.276095,0,4,0.000107
BBK,BBK,,-17.832899,25.162399,3,3,6,1,3,9,0.262159,0.276253,0,4,0.000142
MUB,MUB,,-19.972601,23.431101,6,6,12,0.6,9,9,0.262311,0.276942,4.483333,4,0.000245
GBE,GBE,,-24.555201,25.9182,8,8,16,0.428571,12,9,0.26476,0.280812,50.81898,4,0.000307
BZV,BZV,,-4.2517,15.253,11,12,23,0.69697,46,8,0.299838,0.320617,90.657193,4,0.000331
PNR,PNR,,-4.81603,11.8866,9,9,18,0.666667,24,8,0.298389,0.317965,3180.40232,4,0.00028
MTS,MTS,,-26.528999,31.307501,1,1,2,0,0,9,0.262115,0.275936,0,4,0.000075
BGF,BGF,,4.39848,18.518801,2,3,5,1,6,8,0.293001,0.310824,0,4,0.000125
BSG,BSG,,1.90547,9.80568,2,2,4,1,1,9,0.23108,0.241079,0,4,0.000092
SSG,SSG,,3.75527,8.70872,9,8,17,0.555556,20,8,0.287384,0.30664,1015.826817,4,0.000258
MRU,MRU,,-20.430201,57.683601,24,25,49,0.358974,126,8,0.333227,0.361728,10635.343445,4,0.000687
RRG,RRG,,-19.7577,63.361,1,1,2,0,0,9,0.24996,0.261352,0,4,0.000069
DLA,DLA,,4.00608,9.71948,19,21,40,0.442857,93,8,0.302372,0.326823,3114.866121,4,0.000534
MVR,MVR,,10.4514,14.2574,1,1,2,1,1,9,0.232222,0.242768,0,4,0.000093
NGE,NGE,,7.35701,13.5592,1,1,2,1,1,9,0.233843,0.244434,0,4,0.000095
GOU,GOU,,9.33589,13.3701,2,2,4,1,3,9,0.234436,0.245596,0,4,0.000117
LVI,LVI,,-17.8218,25.8227,4,4,8,0.7,7,9,0.264671,0.280282,13.745152,4,0.000192
LUN,LUN,,-15.3308,28.4526,14,18,32,0.287582,44,8,0.307332,0.329768,12530.235452,4,0.000662
MFU,MFU,,-13.2589,31.9366,1,1,2,0,0,9,0.235101,0.244574,0,4,0.000078
NLA,NLA,,-12.9981,28.6649,6,6,12,0.52381,11,8,0.268715,0.285261,763.181691,4,0.000283
HAH,HAH,,-11.5337,43.2719,6,7,13,0.428571,9,9,0.252628,0.267575,36.787507,4,0.000231
DZA,DZA,,-12.8047,45.281101,10,7,17,0.4,18,9,0.268234,0.288368,1102.471734,4,0.000334
RUN,RUN,,-20.8871,55.5103,13,13,26,0.320513,25,8,0.301129,0.322566,6605.979163,4,0.000411
ZSE,ZSE,,-21.3209,55.424999,1,1,2,0,0,9,0.24996,0.261352,0,4,0.000069
TNR,TNR,,-18.7969,47.478802,20,21,41,0.190476,40,8,0.309965,0.332527,31207.442286,4,0.000784
SMS,SMS,,-17.093901,49.8158,3,3,6,1,3,9,0.237227,0.247125,0,4,0.000152
TMM,TMM,,-18.109501,49.392502,6,6,12,0.4,6,9,0.23728,0.247602,3151.680565,4,0.000323
MOQ,MOQ,,-20.2847,44.3176,2,2,4,1,1,9,0.236656,0.246252,0,4,0.000134
DIE,DIE,,-12.3494,49.291698,5,5,10,0.7,7,9,0.237316,0.247522,3.583139,4,0.000217
WMR,WMR,,-16.1639,49.7738,1,1,2,0,0,10,0.191787,0.19707,0,4,0.000093
ANM,ANM,,-14.9994,50.320202,3,3,6,1,3,9,0.236692,0.246463,0,4,0.000171
MJN,MJN,,-15.666842,46.351233,2,2,4,1,1,9,0.236727,0.246384,0,4,0.000107
NOS,NOS,,-13.3121,48.3148,4,4,8,1,6,9,0.237298,0.247364,0,4,0.000171
WMN,WMN,,-15.4367,49.688301,4,4,8,0.666667,4,9,0.23671,0.246622,1.5,4,0.000219
SVB,SVB,,-14.2786,50.174702,3,3,6,0.666667,2,9,0.236674,0.246411,0.5,4,0.000162
FTU,FTU,,-25.038099,46.9561,2,2,4,1,1,9,0.236656,0.246252,0,4,0.000134
TLE,TLE,,-23.3834,43.7285,3,3,6,0.666667,2,9,0.236674,0.246411,0.5,4,0.000192
SSY,SSY,,-6.2699,14.247,1,1,2,0,0,9,0.249524,0.260869,0,4,0.000077
CAB,CAB,,-5.59699,12.1884,2,2,4,1,1,9,0.249544,0.261028,0,4,0.000133
NOV,NOV,,-12.8089,15.7605,3,3,6,1,3,9,0.249564,0.261186,0,4,0.00017
SVP,SVP,,-12.4046,16.947399,2,2,4,1,1,9,0.249544,0.261028,0,4,0.000122
LAD,LAD,,-8.85837,13.2312,36,36,72,0.196302,138,8,0.332453,0.361283,45480.556129,4,0.001309
MEG,MEG,,-9.52509,16.312401,2,2,4,1,1,9,0.249544,0.261028,0,4,0.000133
SPP,SPP,,-14.6576,17.719801,3,3,6,1,3,9,0.249564,0.261186,0,4,0.00017
VHC,VHC,,-9.68907,20.4319,2,2,4,1,1,9,0.249544,0.261028,0,4,0.000133
SZA,SZA,,-6.14109,12.3718,2,2,4,1,1,9,0.249544,0.261028,0,4,0.000133
SDD,SDD,,-14.9247,13.575,3,3,6,0.666667,2,9,0.249782,0.261636,2.729167,4,0.000155
LUO,LUO,,-11.7681,19.897699,1,1,2,0,0,9,0.249524,0.260869,0,4,0.000077
POG,POG,,-0.711739,8.75438,1,1,2,0,0,9,0.229831,0.238432,0,4,0.000074
LBV,LBV,,0.4586,9.41228,15,16,31,0.583333,70,8,0.304096,0.327129,220.318112,4,0.000406
TMS,TMS,,0.378175,6.71215,3,3,6,0.666667,2,8,0.266599,0.282858,12.178409,4,0.000116
BEW,BEW,,-19.7964,34.9076,6,6,12,0.733333,11,9,0.262727,0.277349,405.534277,4,0.000256
INH,INH,,-23.8764,35.408501,3,3,6,1,3,9,0.26264,0.27682,0,4,0.000149
VXC,VXC,,-13.274,35.2663,2,2,4,1,1,10,0.209615,0.217365,0,4,0.000121
MPM,MPM,,-25.920799,32.572601,15,15,30,0.257143,27,8,0.282433,0.302891,6351.504031,4,0.000564
APL,APL,,-15.1056,39.281799,7,7,14,0.619048,13,9,0.265139,0.281008,1964.412202,4,0.000288
POL,POL,,-12.991762,40.524014,6,6,12,0.733333,11,9,0.265251,0.281114,16.314611,4,0.000228
UEL,UEL,,-17.855499,36.869099,3,3,6,1,3,9,0.220294,0.229787,0,4,0.000154
TET,TET,,-16.104799,33.640202,6,6,12,0.6,9,9,0.262727,0.277349,1604.185939,4,0.000273
VNX,VNX,,-22.0184,35.313301,3,3,6,1,3,9,0.26264,0.27682,0,4,0.000149
SEZ,SEZ,,-4.67434,55.521801,9,9,18,0.5,18,8,0.309112,0.329412,3242.774401,4,0.000267
PRI,PRI,,-4.31929,55.691399,1,1,2,0,0,9,0.236141,0.244848,0,4,0.000073
NDJ,NDJ,,12.1337,15.034,9,9,18,0.424242,28,8,0.302227,0.324705,2663.792739,4,0.00034
BUQ,BUQ,,-20.017401,28.617901,3,3,6,1,3,9,0.262159,0.276253,0,4,0.000138
VFA,VFA,,-18.0959,25.839001,5,5,10,0.7,7,9,0.262268,0.27673,1.95,4,0.000209
HRE,HRE,,-17.931801,31.0928,14,11,25,0.417582,38,8,0.297177,0.318367,735.182356,4,0.000455
BLZ,BLZ,,-15.6791,34.973999,4,4,8,1,10,8,0.268624,0.284837,0,4,0.000181
LLW,LLW,,-13.7894,33.780998,7,6,13,0.857143,18,8,0.268738,0.285314,3.403571,4,0.000238
MSU,MSU,,-29.462299,27.5525,1,1,2,0,0,9,0.262115,0.275936,0,4,0.000075
FIH,FIH,,-4.38575,15.4446,19,16,35,0.257895,49,8,0.306255,0.330746,49630.993809,4,0.000818
MDK,MDK,,0.0226,18.2887,3,2,5,0.333333,1,9,0.234523,0.245168,3147,4,0.000246
GMA,GMA,,3.23537,19.771299,1,1,2,0,0,10,0.189982,0.195552,0,4,0.000117
FKI,FKI,,0.481639,25.337999,3,2,5,0,0,9,0.234663,0.245475,12563,4,0.000253
IRP,IRP,,2.82761,27.588301,1,1,2,0,0,10,0.190108,0.195981,1570.5,4,0.000207
BUX,BUX,,1.56572,30.2208,1,3,4,0.333333,1,11,0.159838,0.16383,3,4,0.000312
BKY,BKY,,-2.30898,28.8088,2,2,4,0,0,10,0.190188,0.196367,6295,4,0.000323
GOM,GOM,,-1.67081,29.238501,3,3,6,0.166667,1,10,0.1902,0.196526,4725.5,4,0.000392
KND,KND,,-2.91918,25.9154,2,2,4,0,0,9,0.234628,0.245237,9420,4,0.000174
FBM,FBM,,-11.5913,27.530899,7,6,13,0.52381,11,8,0.26929,0.285986,798.78628,4,0.000289
FMI,FMI,,-5.87556,29.25,1,0,1,0,0,12,0.137804,0.140234,0,4,0.000166
KGA,KGA,,-5.90005,22.4692,3,3,6,0.666667,2,9,0.234558,0.245221,0.922222,4,0.000173
MJM,MJM,,-6.12124,23.569,2,2,4,1,1,9,0.23454,0.245062,0,4,0.000117
BKO,BKO,,12.5335,-7.94994,16,16,32,0.566667,68,8,0.30041,0.323181,345.333848,4,0.000357
BJL,BJL,,13.338,-16.652201,7,7,14,0.666667,14,8,0.271613,0.290885,36.255297,4,0.000179
FUE,FUE,,28.4527,-13.8638,51,53,104,0.392593,583,8,0.309143,0.338956,1005.521062,2,0.00077
VDE,VDE,,27.8148,-17.8871,3,3,6,0.666667,2,9,0.244182,0.259834,0.301593,2,0.00009
SPC,SPC,,28.626499,-17.7556,7,7,14,0.809524,17,8,0.302169,0.323066,35.927662,2,0.000147
LPA,LPA,,27.9319,-15.3866,82,79,161,0.319482,1061,8,0.316668,0.351945,9313.571821,2,0.001243
ACE,ACE,,28.945499,-13.6052,57,54,111,0.318296,508,8,0.308779,0.338692,1166.582509,2,0.000795
TFS,TFS,,28.0445,-16.5725,83,83,166,0.293557,1048,8,0.318495,0.355564,5194.562637,2,0.001206
TFN,TFN,,28.4827,-16.341499,17,17,34,0.433824,59,8,0.29054,0.313295,3526.871673,2,0.000354
MLN,MLN,,35.2798,-2.95626,4,4,8,0.5,3,9,0.279797,0.297831,0.960372,2,0.00011
FNA,FNA,,8.61644,-13.1955,11,11,22,0.530303,35,8,0.30348,0.324243,862.759852,4,0.000285
MLW,MLW,,6.28906,-10.7587,2,2,4,1,1,9,0.24638,0.257682,0,4,0.00009
ROB,ROB,,6.23379,-10.3623,6,6,12,0.857143,18,8,0.295254,0.314583,4.417202,4,0.000177
AGA,AGA,,30.325001,-9.41307,21,20,41,0.454545,105,8,0.307903,0.332968,1214.343586,2,0.000378
TTA,TTA,,28.4482,-11.1613,0,1,1,0,0,9,0.255333,0.268936,0,2,0.000064
FEZ,FEZ,,33.927299,-4.97796,16,16,32,0.35,42,8,0.274359,0.298387,250.859375,2,0.000278
